Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,Cuarentena,Dia,1,2,3,4,5,6,7,8,9,10,dia_a_predecir
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,11,1,1,1,1,1,1,3,5,12,12,17
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,12,1,1,1,1,1,3,5,12,12,17,17
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,13,1,1,1,1,3,5,12,12,17,17,19
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,14,1,1,1,3,5,12,12,17,17,19,20
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,15,1,1,3,5,12,12,17,17,19,20,20
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,16,1,3,5,12,12,17,17,19,20,20,20
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,17,3,5,12,12,17,17,19,20,20,20,24
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,18,5,12,12,17,17,19,20,20,20,24,26
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,28.0,19,12,12,17,17,19,20,20,20,24,26,37
Argentina,2780400.0,44938712.0,0, 1, 0, 0, 0, 0,-38.4161,-63.6167,41,445469.0,5.62,17.0,11,1,1,1,2,8,12,12,17,19,19,31
Argentina,2780400.0,44938712.0,0, 1, 0, 0, 0, 0,-38.4161,-63.6167,41,445469.0,5.62,17.0,12,1,1,2,8,12,12,17,19,19,31,34
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,11,4,5,5,6,9,9,12,12,12,13,13
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,12,5,5,6,9,9,12,12,12,13,13,14
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,13,5,6,9,9,12,12,12,13,13,14,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,14,6,9,9,12,12,12,13,13,14,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,15,9,9,12,12,12,13,13,14,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,16,9,12,12,12,13,13,14,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,17,12,12,12,13,13,14,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,18,12,12,13,13,14,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,19,12,13,13,14,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,20,13,13,14,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,21,13,14,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,22,14,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,23,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,24,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,25,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,26,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,27,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,28,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,29,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,30,15,15,15,15,15,15,15,15,15,15,15
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,58.0,31,15,15,15,15,15,15,15,15,15,15,15
